CLUE,ANS,POS
Loss of memory ,amnesia,1
Conscious (of),aware,1
Metal holding a gem ,setting,1
Ancient Italian ,roman,1
Relating to cookery ,culinary,5
Author ,writer,1
Type of aircraft engine ,ramjet,8
Bird of prey ,hawk,2
Clean and orderly ,neat,3
Pronoun ,she,2
"Warranty, pledge ",guarantee,1
Brass band instrument ,euphonium,5
Medical care ,treatment,2
Winner ,champion,2
Art of crafting objects from paper,origami,1
Person who paddles a kayak or suchlike ,canoeist,12
Greatly surprised,amazed,2
Albumen,egg white,1
Man's servant ,valet,6
Thin paper or plastic tubes ,straws,1
Underground room ,cellar,4
Incisive ,penetrating,3
Woollies ,knitwear,1
Garden of fruit trees,orchard,1
