CLUE,ANS,POS
Rabbit coop ,hutch,1
Soundless ,silent,3
Get off a horse,dismount,1
Blades of windmill or propellers ,vanes,6
Resident ,citizen,20
Magical being ,fairy,1
Road tax ,toll,4
"Guest, caller ",visitor,1
Shivering fever,ague,10
Consumed ,ate,1
Vigour ,energy,1
Morally right ,ethical,1
Take a chance ,risk,2
Ever ,always,1
Coterie ,clique,14
Organ of sight ,eye,1
Cook slowly ,stew,2
Structure in an apiary,beehive,2
Foolish talk ,twaddle,11
Builder's safety wear ,hard hat,1
Manicurist's establishment ,nail bar,3
Jealous emotion - deadly sin,envy,1
Baked dough ,pastry,2
