CLUE,ANS,POS
Very ugly building ,eyesore,1
Medical practitioner ,doctor,1
Giraffe-like animal ,okapi,1
Disease of birds ,psittacosis,6
Monks' hoods ,cowls,1
Thick,dense,2
Large reptile,crocodile,1
Greasy mark ,smear,4
Surgeon's knife ,scalpel,1
Departs ,goes,3
Legal possessor ,owner,1
Terror ,panic,2
Yellow fruit ,banana,1
Royal personage,prince,3
House robber ,burglar,2
Bony framework ,skeleton,1
Fungal plant disease ,mildew,4
"Obstinate, bullheaded ",stubborn,1
Golf ball support ,tee,1
Small African nocturnal primate with large eyes ,bushbaby,2
