CLUE,ANS,POS
"Maxim, self-evident truth ",axiom,1
Map ,chart,2
Belgian city,liege,17
Sound reverberations ,echoes,16
Having no predetermined limit ,open-ended,5
Irrational fears ,phobias,20
Relieving pain,analgesic,19
Group of nerve cells from which fibres radiate ,ganglion,13
Branch of maths ,geometry,12
Wheat-like cereal ,rye,10
Simple ,easy,2
Type of music,jazz,4
Brother or sister ,sibling,3
Wetness ,moisture,11
"Alone, apart, detached ",isolated,1
Fleet of armed ships ,armada,1
Spanish gypsy dance ,flamenco,1
