CLUE,ANS,POS
Nauseous when flying,airsick,1
Anger ,ire,2
Orderly and clean ,neat,3
Agricultural labourer of low status ,peasant,1
Servitude ,bondage,2
Engulfing swirl of e.g. whirlpool ,vortex,1
"Practical, no-nonsense",down-to-earth,16
Asian desert ,gobi,1
Full of praise ,laudatory,10
Characterized by intense feeling ,emotional,10
Asian country ,vietnam,6
Brief light fall of rain ,shower,3
Miser ,skinflint,17
Sofa bed ,futon,2
Male singer in boater ,baritone,2
Beatle ,ringo,4
House or hotel visitors ,guests,1
Hospital-like - strictly objective,clinical,2
Utter with excited cries,whoop,9
Country of Pharaohs ,egypt,1
Gambling house ,casino,1
Strong cord ,rope,1
"Upper class, nobility ",aristocracy,1
