CLUE,ANS,POS,FOUND IN
In a hurry ,pressed,6,Time-pressed
Adult male ,man,4,Manhood
Woody tropical grass ,bamboo,2,Bamboo (some tropical varieties)
Galled,irked,7,Sore and irked
Newt-like amphibian ,salamander,12,"Salamander family (Salamandridae) - Newts are part of this large family, which includes various salamanders and newts found around the world."
Period (of work); incantation ,spell,46,Spell timeframe
"Harry ......, famous American escapologist ",houdini,1,Houdini - Harry Houdini was a renowned escape artist known for his sensational stunts.
Common book size,octavo,2,Octavo (O)
Require ,need,6,Needed
TE Lawrence's milieu?,arabia,7,Tribal dynamics of Arabian Peninsula's clans
