CLUE,ANS,POS
Come out again ,reemerge,1
Dabbler in the arts,dilettante,3
Definite,certain,11
Merriment ,mirth,7
Receptacle for household rubbish,dustbin,5
Small red fruit ,cherry,1
Place to which one is travelling ,destination,1
"Concept, belief ",notion,2
Friction or division in church organisation ,schism,4
One not eating or using animal products ,vegan,2
"Element 22, makes strong non-corroding alloys ",titanium,1
"Circular band of flowers and leaves, often seen on graves ",wreath,1
Member of travelling people,nomad,1
Relativity scientist ,einstein,2
Cards taken in excess of the contract in Bridge ,overtrick,1
Scottish family grouping ,clan,1
Enthusiastically ,eagerly,1
Common fund; game ,pool,2
