CLUE,ANS,POS,FOUND IN
"Japanese dish, often cooked at table",sukiyaki,18,Sukiyaki (mixed meat and vegetable hot pot dish)
Tolerate,bear,6,Bearable
Sea-creature resembling tortoise ,turtle,1,Tortuga (turtle in Spanish)
Equipped with weapons ,armed,1,Armed Forces - military units equipped with weaponry for defense and combat.
Of the Middle Ages ,medieval,11,Medieval Latin
Tap (US) ,faucet,1,"Spigot - A valve or tap used for controlling water flow, often found on a garden hose or outdoor faucet."
Rosemary perhaps ,herb,11,Herbaceous
Mad dog disease ,rabies,1,"Rabies - A viral disease transmitted through the saliva of infected animals, primarily dogs and bats, causing aggressive behavior in afflicted pets."
Find - remnant of something,trace,9,Traces
Gala ,carnival,7,"Carnival - An annual festival or event with feasting, entertainment, and various forms of celebration, often held before Lent in the Catholic Church."
Relating to vision ,optic,17,Optical illusion
