CLUE,ANS,POS
Someone not aristocratic or royal ,commoner,1
"Grew, progressed, evolved ",developed,1
Rogue - tornado,twister,3
Dignity and assurance of manner ,poise,7
Supporter in a conflict,ally,13
Paradise,garden of eden,6
Sickness of the stomach ,nausea,11
"Parts, pieces, portions ",segments,1
Suffering of body or mind ,pain,3
Seeker of alms ,beggar,1
By word of mouth ,oral,12
Eccentric person like peculiar sphere ,oddball,1
U2 guitarist,edge,1
French soft cheese ,brie,1
Golf peg ,tee,1
Small piece ,bit,13
Slightly indecent ,risque,12
Fe ,iron,1
Strong ,potent,8
Legal representative ,lawyer,2
