CLUE,ANS,POS
Afflicted ,stricken,1
Farm vehicles ,tractors,1
Partially viewed ,glimpsed,1
Fast Brazilian dance ,lambada,4
Kind of rehearsal like thirsty trot ,dry run,1
Impressed deeply ,awed,1
Crosswise ,transverse,4
"King Edward VIII, latterly",duke of windsor,1
Aperture for lock opening ,keyhole,1
Short-legged hound ,beagle,3
Short ,brief,1
Bay lynx ,bobcat,1
Designed to reduce wind resistance,streamlined,2
Towers attached to mosques ,minarets,1
Lowest point ,nadir,3
"Obscure, puzzling ",enigmatic,1
Competing ,vying,3
Defeated or hit repeatedly ,beaten,2
Trapped ,cornered,17
Accommodation - makes a hole,digs,1
Male singer ,baritone,3
Large American vulture ,condor,5
