CLUE,ANS,POS
Get bigger ,grow,3
They decide outcomes of contests ,judges,1
Friendly ,sociable,20
Ought to ,should,1
Glass container in the laboratory ,test tube,4
Food from milk curd ,cheese,1
Tufted velvety cord or yarn ,chenille,5
Contests or partnerships of equals ,matches,5
Funny little teasers,riddles,11
Furthest extent ,limit,6
Aid in a crime ,abet,1
Aid to memory ,mnemonic,1
Accounts checker,auditor,1
Standards of perfection ,ideals,1
Horned dinosaur ,triceratops,1
Involving hard work ,laborious,6
With much to do ,busy,1
Bigotry ,bias,2
The immaterial part of a person ,psyche,7
South American pack animal ,llama,1
Polynesian garland ,lei,1
Gains points ,scores,2
Not occupied ,vacant,2
One with no illusions ,realist,1
