CLUE,ANS,POS
Assert one's right to,claim,2
Zodiac sign ,aquarius,10
Cease work ,rest,7
Ten years ,decade,1
Window in  a roof ,skylight,17
Island mostly north of the Arctic circle,greenland,1
Be at odds,disagree,3
Immeasurably bad ,abysmal,12
Breed of antelope ,impala,9
Harbinger ,herald,12
Food item made with bleached flour ,white bread,19
Baseless ,unfounded,18
Seat of a monarch ,throne,1
Italian poet ,dante,1
Member of police force ,officer,2
Lute-like instrument ,mandolin,4
Attire ,dress,5
Business room - position of responsibility or duty,office,6
Scottish residence of the British royal family ,balmoral,7
