CLUE,ANS,POS
Dessert ,sorbet,8
"Put to death or carry out, say plan ",execute,1
Small peach-like fruit ,apricot,1
Severe flood ,deluge,1
"Detested, loathed ",abhorred,1
Blind guess,shot in the dark,3
Greek epic wanderings of Ulysses ,odyssey,1
Rare ,uncommon,5
Flat raised land ,plateau,1
Skilled Himalayan mountaineer ,sherpa,1
Brazilian tree or its wax ,carnauba,1
"Wheedle, coax ",cajole,3
Composition drawn from various sources - maybe it's cheap ,pastiche,9
Rebirth in a new body ,reincarnation,2
Where things are in hock ,pawnshop,1
Bring back into good condition ,rehabilitate,5
