CLUE,ANS,POS,FOUND IN
Style popular in the 1920s and '30s ,art deco,1,"Art Deco (a popular style in the 1920s and '30s that is characterized by geometric shapes, metallic materials, and bold colors)"
Appends ,adds,1,Adds on
Allowed to enter ,admitted,2,Admitted entrance
Cricket practice ,net,4,Net session
Of the brain ,cerebral,13,Cerebral cortex
"Diamonds, rubies, sapphires etc ",jewels,5,Glimmering jewels
Science of speech sounds,phonetics,1,"Phonetics: the study of the physical properties of speech sounds, including their production and perception"
Balkan country,macedonia,6,Macedonia (FYROM)
Very strong wind ,gale,1,Gale-force
Confidential remark,aside,7,Quiet aside
