CLUE,ANS,POS,FOUND IN
Fully grown ,mature,1,Matured
Insipid -- uninteresting ,bland,15,Blandness
Castor and Pollux ,gemini,5,Astrological signs in Gemini zodiac sign
Nazi-style discrimination,racism,3,Institutionalized racism
Violent whirling windstorms,cyclones,3,"Cyclones (in some regions, depending on the storm's location and characteristics)"
Yet to come,future,1,Future occurrence
Separated ,apart,9,Broken apart
Far from the target ,wide,9,Wide apart
Toy with plastic bricks ,lego,1,Lego bricks
Of water ,aqua,10,Aquatic
