CLUE,ANS,POS,FOUND IN
Monumental (task) ,herculean,16,Herculeantask
Priest of the ancient Jewish Church ,levi,3,Levite
Post; armour ,mail,1,Mail (as in chain mail)
(Child's) rabbit ,bunny,23,Bunnykins
Bank guarantee of payment ,letter of credit,1,Letter of Credit (LC)
The entomologist studies this ,insect,1,Insects
Introduce (anag) - decrease,reduction,3,reductionie 
Three feet ,yard,1,Yardstick
Printer's medium ,ink,4,Inkjet
Row with two oars,scull,1,Sculling
Begin ,commence,2,Commencement
Inflamed swelling ,boil,8,Boils
Reflecting glass ,mirror,1,Mirrors
Young sheep ,lamb,1,Lambkin
Honey producer ,bee,1,Beekeeper
His wings melted when he flew too near the sun ,icarus,3,Icarusian
