CLUE,ANS,POS
Bloodsucker; early doctor ,leech,2
Supreme Being ,god,1
Wash with clean water,rinse,1
Clown,jester,1
Established customs ,habits,4
Thrilled ,excited,18
Petty quarrel ,tiff,2
Casual shoes ,sneakers,1
The world considered as a linked community ,global village,1
Came into sight ,appeared,1
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,1
Small falcon ,merlin,4
Small biting fly ,gnat,1
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,5
Ocean ,sea,1
Sudden impulse ,whim,1
Picture-house,cinema,1
