CLUE,ANS,POS,FOUND IN
Correspondent ,journalist,10,Correspondent (specifically a journalist)
Preparation used in setting hair ,gel,4,Gel or wax
Dog -- tooth,canine,1,Canine chompers
Plumage ,feathers,15,Flight feathers arrangement
View ,look,11,Outlook
Black leopard ,panther,1,Panthera pardus - Scientific name
Destructive beetle,weevil,7,Root weevil
Ring-shaped ,circular,8,Circular ring
Fine-bladed sword,rapier,17,Fine rapier
"Skill, cunning ",craft,8,Crafty
Tradition - rate of consumption,usage,1,Usage frequency
Pacifist leader during India's struggle for independence ,gandhi,1,Mahatma Gandhi
