CLUE,ANS,POS,FOUND IN
"Whisk, blend ",stir,3,Stir well
"Italian painter known for his scenes of Venice, d. 1768",canaletto,2,"From a young age, he showed an aptitude for drawing and painting, which led him to apprenticeship with his brother-in-law Bernardo Bellotto (also known as Canaletto), who became one of the leading exponents of the genre of vedute during that period."
Surprise police visit ,raid,1,Unexpected raid
Utter a piercing cry,scream,7,Ear-splitting scream
Japanese dish ,sushi,1,"Sushi - Traditional Japanese dish consisting of vinegared rice combined with other ingredients, such as seafood or vegetables."
James Bond likes his martini this way ,shaken,1,"Shaken, not stirred"
Hand tool; proverb ,saw,3,"Carpenter's saw: ""Make hay while the sun shines,"" meaning seizing opportunities as a craftsman works efficiently during optimal conditions."
Hot curry ,madras,7,Madras cuisine favorite
Refined and graceful ,elegant,1,Elegant movements
From Antarctica or the Arctic ,polar,1,Polar extremes
Farm tool and star formation ,plough,1,"Plough - A farm tool used for initial cultivation by cutting through the soil, also a double-entendre as ""plow"" can refer to the process of initiating stellar birth in astronomical terms (nucleosynthesis)."
Insurance payment,premium,2,Premium amount
Wager ,bet,1,Betting
"Eg, the Tate ",gallery,3,"Contemporary artist: Chris Ofili, a notable British painter associated with The Tate Gallery in London"
