CLUE,ANS,POS,FOUND IN
"Put to death or carry out, say plan ",execute,1,"Execute (verb form, as in carrying out a sentence)"
Severe flood ,deluge,1,Deluge - A great flood or deluging downpour.
Explosive - pit ,mine,2,"Land mine (with an emphasis on the buried, pit-like nature of the device)"
Capacity to become ,potential,1,Potentiality
Underworld ,hell,5,Hell (mythological counterpart)
Flat raised land ,plateau,2,Proficient understanding of geomorphological processes that shape flat raised lands such as mesas and plateaus.
Riding trousers ,breeches,2,Breeches (historical British)
Inn ,hotel,19,Inward investment into hotelier industries (finance-related term)
Brazilian tree or its wax ,carnauba,5,"Carnauba wax (waxy substance obtained from a palm tree native to northeastern Brazil, could be referred to as the ""Brazilian tree or its wax"")"
Recovery of youth,rejuvenation,1,"Evelyn Witts, I would consider the clue ""Recovery of youth"" in a crossword puzzle and deduce that it could be asking for words associated with rejuvenation or returning to a state of being young again"
Moon feature ,crater,1,Cratere
Looking-glass girl ,alice,1,"Alice Liddell - the real-life inspiration for ""Alice in Wonderland"""
