CLUE,ANS,POS
Proportion of one thing to another ,ratio,1
Sesame Street character -- patron saint of sailors ,elmo,3
Intrepid,audacious,7
Hamlet's mother ,gertrude,1
Heavenly,celestial,2
Loose casual trousers,slacks,1
Gross mistake,blunder,1
Lacking in excitement ,mundane,11
Criminal deception,fraud,1
Not guilty ,innocent,1
Without anxiety or responsibilities ,carefree,1
Put back together again ,reassembled,1
Retail outlet,shop,2
Royal insignia ,regalia,6
Covert ,stealthy,3
Discourage ,deter,1
Early artilleryman ,cannoneer,3
