CLUE,ANS,POS
Italian resort ,rimini,14
"Call upon in prayer, as for assistance ",invoke,1
Motionless ,static,20
Musical speed ,tempo,1
Child of first eight weeks in womb ,embryo,1
Aristocratic ,noble,16
Lifted ,raised,2
"Nurse, nun or relation ",sister,3
Army unit ,regiment,5
Human beings ,people,4
Everlasting ,eternal,14
Distance north or south of the equator ,latitude,4
"Piece of crockery, maybe flying ",saucer,7
Primary blue colour in printing ,cyan,2
"'Seasonal wind in southern Asia, brings heavy rains (7)' ",monsoon,9
Reek ,stink,14
