CLUE,ANS,POS,FOUND IN
Analysed ,examined,2,Examined and interpreted
At a later time ,afterward,4,Afterwards
Pencil/cigarette remnant ,stub,2,Tiny stub (of a cigarette filter)
Military training ,drill,2,Drill sergeant
Honey producer ,bee,1,Beekeeper
Constituent of brass ,zinc,3,"Zinc: The secondary component of brass, which adds strength and durability to the alloy."
Pioneer scientist ,galileo,4,Galileo Galilei
"Conduct business, negotiate ",transact,9,Transaction
Doctor's temporary replacement ,locum,1,Locum tenens
Prepare (material) for publishing ,edit,1,Edited
