CLUE,ANS,POS,FOUND IN
Staggering ,reeling,9,Reeling movement
Highly skilled musician ,virtuoso,1,Prodigious virtuoso
The smaller of two ,lesser,2,Lesser in size
In reserve; remark ,aside,3,Set aside
Solid - business ,firm,7,Firm foundations
Wide area ,expanse,5,Vast expanse
Tribe ,clan,13,Clan or lineage
Alcoholic drink without a mixer,neat,3,"Neat (alcohol served alone, without a mixer)"
Eye inflammation ,iritis,16,Iritis (inflammation of the iris)
Doctor Who's machine ,tardis,1,"TARDIS (Time And Relative Dimension In Space, the time-traveling ship in Doctor Who)"
