CLUE,ANS,POS
German submarine ,u-boat,1
A search for a person ,manhunt,20
Hallucinatory state of wild excitement,delirium,8
Pay no attention to ,ignore,1
Unsurprising,predictable,2
A friendly informal conversation ,chat,1
Reasonable ,logical,5
Personal views ,opinions,2
Ethylene glycol ,antifreeze,1
A tough and testing time ,ordeal,10
Member of orchestra,cellist,2
House of concubines ,harem,2
Grown-ups ,adults,1
Danger ,hazard,12
Dorset seaside resort ,swanage,3
To do with sense of touch ,tactile,3
