CLUE,ANS,POS
Cultivated plot of ground ,garden,5
Pull hard ,heave,12
Welsh dog ,corgi,1
Waterway ,canal,3
Cuppa brewer ,teapot,2
Chaser of criminals for reward ,bounty hunter,1
Bring to a close ,end,2
Vocalist ,singer,1
Job ,occupation,8
Act imposed for sin ,penance,1
"Go regularly to, church perhaps ",attend,1
Fully functional ,up and running,8
Perceive,notice,3
"Put down, degrade (6). ",demean,3
Arsenal - magazine ,armoury,3
Ungenerous,stingy,1
Rotate ,spin,1
Forbearing ,tolerant,3
Rainwater channel,gutter,2
Of dogs,canine,1
Price of passage ,fare,2
"Hat, for a country-and-western singer perhaps",stetson,2
Drink ,beverage,2
Power of creative thought ,imagination,1
End of day ,sunset,4
