CLUE,ANS,POS
Therefore ,hence,5
Comparable (to) ,analogous,3
One without mother or father ,orphan,1
A conductor wields it ,baton,1
Pamphlet giving information ,leaflet,2
Individual unit in a list ,item,1
Divided peninsula ,korea,3
Favouring separation from a church ,schismatic,7
Corkscrew shape ,spiral,1
Job favouritism shown to relatives ,nepotism,1
"Sudden, short attack ",raid,4
Tanned animal skin ,leather,1
Uppermost point ,apex,3
In danger ,at risk,10
Implements ,tools,1
A fool being cool and remote ,aloof,1
Interfere ,meddle,10
Simple - computer language ,basic,1
Adoration ,worship,1
Reddish-brown,chestnut,1
