CLUE,ANS,POS
Knight's title,sir,1
Projectile from bow ,arrow,1
Arrive at ,reach,6
Leaving no room for doubt,explicit,4
Gets better or gets back ,recovers,14
"Grant, confer ",award,2
"Concurred, assented ",agreed,1
Tool for cutting grass with blade on long pole ,scythe,1
Culmination,climax,3
Column,pillar,19
Goddess of retribution ,nemesis,15
Military encirclement ,siege,3
One who weeps easily without good cause ,crybaby,1
Fully stated ,explicit,4
Stole ,purloined,12
Tropical fruit ,mango,1
Book by Defoe,moll flanders,2
"Eg, a chemist ",scientist,9
Involving death ,fatal,1
