CLUE,ANS,POS,FOUND IN
Analysed ,examined,1,Examined thoroughly
Mass of bubbles ,froth,2,Froth volume
At a later time ,afterward,8,Afterwards
Small road,lane,3,Narrow lane
Pity for a Biblical Book ,ruth,10,Ruth's Loss
Pencil/cigarette remnant ,stub,3,Cigarette stub
Imperial capacity measure,pint,5,Pints imperial
Military training ,drill,4,Drill instructor
Honey producer ,bee,2,Beekeeper
"Conduct business, negotiate ",transact,14,Commercial transactions
The peninsula containing Spain and Portugal ,iberia,1,Iberian Peninsula
Careful use (of a resource) ,conservation,5,Mindful conservation
Prepare (material) for publishing ,edit,2,Edited draft
'. . . . . . is as good as a feast' ,enough,18,Enough to go around
Deep cut ,gash,5,Jagged gash
Preserve made with citrus fruits ,marmalade,2,Orange marmalade
Regard as likely to happen ,expect,2,Expected
